code,name,market,industry,listed
011210,현대위아,KOSPI,자동차 신품 부품 제조업,2011-02-21
136490,선진,KOSPI,동물용 사료 및 조제식품 제조업,2011-02-16
134380,미원화학,KOSPI,기타 화학제품 제조업,2011-02-15
134790,시디즈,KOSPI,가구 제조업,2011-01-25
082740,한화엔진,KOSPI,일반 목적용 기계 제조업,2011-01-04
117580,대성에너지,KOSPI,연료용 가스 제조 및 배관공급업,2010-12-24
126560,현대퓨처넷,KOSPI,전기 통신업,2010-12-23
058860,KTis,KOSPI,기타 정보 서비스업,2010-12-17
130660,한전산업,KOSPI,건축기술  엔지니어링 및 관련 기술 서비스업,2010-12-16
900140,엘브이엠씨,KOSPI,자동차 판매업,2010-11-30
081660,미스토홀딩스,KOSPI,생활용품 도매업,2010-09-28
058850,KTcs,KOSPI,기타 정보 서비스업,2010-09-16
002150,도화엔지니어링,KOSPI,건축기술  엔지니어링 및 관련 기술 서비스업,2010-08-12
128820,대성산업,KOSPI,연료 소매업,2010-07-30
122900,아이마켓코리아,KOSPI,상품 종합 도매업,2010-07-30
128940,한미약품,KOSPI,의약품 제조업,2010-07-30
105840,우진,KOSPI,측정  시험  항해  제어 및 기타 정밀기기 제조업; 광학기기 제외,2010-07-26
033920,무학,KOSPI,알코올음료 제조업,2010-07-20
102460,이연제약,KOSPI,의약품 제조업,2010-06-10
123690,한국화장품,KOSPI,생활용품 도매업,2010-06-01
123700,에스제이엠,KOSPI,자동차 신품 부품 제조업,2010-05-31
060980,HL홀딩스,KOSPI,기타 금융업,2010-05-19
032830,삼성생명,KOSPI,보험업,2010-05-12
088350,한화생명,KOSPI,보험업,2010-03-17
120030,조선선재,KOSPI,기타 금속 가공제품 제조업,2010-02-19
120110,코오롱인더,KOSPI,화학섬유 제조업,2010-02-01
119650,KC코트렐,KOSPI,일반 목적용 기계 제조업,2010-01-29
071320,지역난방공사,KOSPI,증기  냉·온수 및 공기조절 공급업,2010-01-29
012160,영흥,KOSPI,1차 철강 제조업,2010-01-25
118000,메타케어,KOSPI,기계장비 및 관련 물품 도매업,2009-12-30
052690,한전기술,KOSPI,건축기술  엔지니어링 및 관련 기술 서비스업,2009-12-14
114090,GKL,KOSPI,유원지 및 기타 오락관련 서비스업,2009-11-19
034730,SK,KOSPI,기타 금융업,2009-11-11
032560,황금에스티,KOSPI,1차 비철금속 제조업,2009-10-29
000080,하이트진로,KOSPI,알코올음료 제조업,2009-10-19
047400,유니온머티리얼,KOSPI,내화  비내화 요업제품 제조업,2009-09-29
093240,형지엘리트,KOSPI,봉제의복 제조업,2009-09-28
039490,키움증권,KOSPI,금융 지원 서비스업,2009-08-03
111770,영원무역,KOSPI,상품 종합 도매업,2009-07-30
053690,한미글로벌,KOSPI,건축기술  엔지니어링 및 관련 기술 서비스업,2009-06-23
028100,동아지질,KOSPI,기반조성 및 시설물 축조관련 전문공사업,2009-06-12
071970,HD현대마린엔진,KOSPI,일반 목적용 기계 제조업,2009-05-15
108670,LX하우시스,KOSPI,플라스틱제품 제조업,2009-04-20
105630,한세실업,KOSPI,봉제의복 제조업,2009-03-20
109070,주성코퍼레이션,KOSPI,통신 및 방송 장비 제조업,2009-03-17
107590,미원홀딩스,KOSPI,기타 금융업,2009-03-02
035420,NAVER,KOSPI,자료처리  호스팅  포털 및 기타 인터넷 정보매개 서비스업,2008-11-28
026940,부국철강,KOSPI,1차 철강 제조업,2008-10-14
105560,KB금융,KOSPI,기타 금융업,2008-10-10
104700,한국철강,KOSPI,1차 철강 제조업,2008-09-29
103590,일진전기,KOSPI,절연선 및 케이블 제조업,2008-08-01
103140,풍산,KOSPI,1차 비철금속 제조업,2008-07-30
011070,LG이노텍,KOSPI,전자부품 제조업,2008-07-24
017180,명문제약,KOSPI,의약품 제조업,2008-07-10
100220,비상교육,KOSPI,서적  잡지 및 기타 인쇄물 출판업,2008-06-30
102260,동성케미컬,KOSPI,합성고무 및 플라스틱 물질 제조업,2008-06-23
032640,LG유플러스,KOSPI,전기 통신업,2008-04-21
101140,인바이오젠,KOSPI,기계장비 및 관련 물품 도매업,2008-04-02
020560,아시아나항공,KOSPI,항공 여객 운송업,2008-03-28
100840,SNT에너지,KOSPI,일반 목적용 기계 제조업,2008-02-22
100250,진양홀딩스,KOSPI,플라스틱제품 제조업,2008-02-15
085310,엔케이,KOSPI,구조용 금속제품  탱크 및 증기발생기 제조업,2008-01-24
051600,한전KPS,KOSPI,전기 및 통신 공사업,2007-12-14
092440,기신정기,KOSPI,특수 목적용 기계 제조업,2007-10-30
044450,KSS해운,KOSPI,해상 운송업,2007-10-26
094280,효성 ITX,KOSPI,기타 사업지원 서비스업,2007-10-25
033270,유나이티드,KOSPI,의약품 제조업,2007-10-23
092200,디아이씨,KOSPI,자동차 신품 부품 제조업,2007-10-18
097950,CJ제일제당,KOSPI,기타 식품 제조업,2007-09-28
028670,팬오션,KOSPI,해상 운송업,2007-09-21
097230,HJ중공업,KOSPI,토목 건설업,2007-08-31
096760,JW홀딩스,KOSPI,기타 금융업,2007-07-31
096770,SK이노베이션,KOSPI,석유 정제품 제조업,2007-07-25
029780,삼성카드,KOSPI,기타 금융업,2007-06-27
001780,알루코,KOSPI,1차 비철금속 제조업,2007-06-07
095720,웅진씽크빅,KOSPI,초등 교육기관,2007-05-31
094800,맵스리얼티,KOSPI,신탁업 및 집합투자업,2007-04-09
090370,메타랩스,KOSPI,봉제의복 제조업,2006-12-26
093370,후성,KOSPI,기초 화학물질 제조업,2006-12-22
093050,LF,KOSPI,봉제의복 제조업,2006-12-01
044380,주연테크,KOSPI,컴퓨터 및 주변장치 제조업,2006-11-15
044820,코스맥스비티아이,KOSPI,기타 금융업,2006-11-13
034590,인천도시가스,KOSPI,연료용 가스 제조 및 배관공급업,2006-11-07
009770,삼정펄프,KOSPI,펄프  종이 및 판지 제조업,2006-10-17
092220,KEC,KOSPI,반도체 제조업,2006-10-16
092230,KPX홀딩스,KOSPI,기초 화학물질 제조업,2006-10-12
089470,HDC현대EP,KOSPI,기타 화학제품 제조업,2006-09-25
090350,노루페인트,KOSPI,기타 화학제품 제조업,2006-07-03
090430,아모레퍼시픽,KOSPI,기타 화학제품 제조업,2006-06-29
032350,롯데관광개발,KOSPI,여행사 및 기타 여행보조 서비스업,2006-06-08
090080,평화산업,KOSPI,자동차 신품 부품 제조업,2006-06-02
